Code Word,Size,Stranding,Ind. Diam - Al,Ind. Diam - St,Diam - Stl Core,Diam - Complete Cable,Weight per 1000 ft - Al,Weight per 1000 ft - Stl,Weight per 1000 ft - Total,% Al,% Stl,Rated Strength,Resistance DC @Low degc,Resistance AC @High degc,Low Temp,High Temp,Meters per Resistance Interval,Allowable Ampacity,Type
Finch,1113,54/19,0.1436,0.0861,0.4307,1.292,1053,375,1429,73.72,26.28,39100,0.0154,0.0197,20,75,304.8,1093,ACSR
Bunting,1192.5,45/7,0.1628,0.1085,0.3256,1.302,1123,219,1343,83.67,16.33,32000,0.0144,0.0182,20,75,304.8,1139,ACSR
Grackle,1192.5,54/19,0.1486,0.0892,0.4458,1.337,1129,402,1531,73.72,26.28,41900,0.0144,0.0184,20,75,304.8,1140,ACSR
Bittern,1272,45/7,0.1681,0.1121,0.3362,1.345,1198,234,1432,83.67,16.33,34100,0.0135,0.0171,20,75,304.8,1184,ACSR
Pheasant,1272,54/19,0.1535,0.0921,0.4605,1.381,1204,429,1633,73.71,26.29,43600,0.0135,0.0173,20,75,304.8,1187,ACSR
Dipper,1351.5,45/7,0.1733,0.1155,0.3466,1.386,1273,248,1521,83.67,16.33,36200,0.0127,0.0162,20,75,304.8,1229,ACSR
Martin,1351.5,54/19,0.1582,0.0949,0.4746,1.424,1279,456,1735,73.72,26.28,46300,0.0127,0.0163,20,75,304.8,1232,ACSR
Bobolink,1431,45/7,0.1783,0.1189,0.3566,1.427,1348,263,1611,83.67,16.33,38300,0.012,0.0153,20,75,304.8,1272,ACSR
Lapwing,1590,45/7,0.188,0.1253,0.3759,1.504,1498,292,1790,83.67,16.33,42200,0.0108,0.0139,20,75,304.8,1354,ACSR
Falcon,1590,54/19,0.1716,0.103,0.5148,1.544,1505,536,2041,73.72,26.28,54500,0.0108,0.014,20,75,304.8,1359,ACSR
Chukar,1780,84/19,0.1456,0.0874,0.4368,1.602,1685,386,2072,81.35,18.65,51000,0.0097,0.0125,20,75,304.8,1453,ACSR
Bluebird,2156,84/19,0.1602,0.0962,0.4808,1.762,2040,468,2508,81.34,18.66,60300,0.00801,0.0105,20,75,304.8,1623,ACSR
Kiwi,2167,72/7,0.1735,0.1157,0.347,1.735,2051,249,2300,89.17,10.82,49800,0.00801,0.0106,20,75,304.8,1607,ACSR
Partridge/ACSS,266.8,26/7,0.1013,0.0788,0.2363,0.642,251.3,115.5,366.8,8880,9730,11400,0.0619,0.0761,20,75,304.8,812,ACSS
Junco/ACSS,266.8,30/7,0.0943,0.0943,0.2829,0.66,251.9,165.5,417.4,11700,13000,15200,0.0615,0.0756,20,75,304.8,822,ACSS
Ostrich/ACSS,300,26/7,0.1074,0.0835,0.2506,0.68,282.6,129.9,412.5,10000,10900,12800,0.0551,0.0677,20,75,304.8,877,ACSS
Linnet/ACSS,336.4,26/7,0.1137,0.0885,0.2654,0.72,316.8,145.7,462.5,11200,12300,14400,0.0491,0.0604,20,75,304.8,945,ACSS
Oriole/ACSS,336.4,30/7,0.1059,0.1059,0.3177,0.741,317.6,208.7,526.3,14800,16300,19100,0.0488,0.06,20,75,304.8,957,ACSS
Brant/ACSS,397.5,24/7,0.1287,0.0858,0.2574,0.772,374.4,137,511.4,11000,12100,14100,0.0417,0.0514,20,75,304.8,1047,ACSS
Ibis/ACSS,397.5,26/7,0.1236,0.0962,0.2885,0.783,374.4,172.1,546.5,13000,14200,16500,0.0416,0.0512,20,75,304.8,1054,ACSS
Lark/ACSS,397.5,30/7,0.1151,0.1151,0.3453,0.806,375.3,246.5,621.8,17500,19300,22600,0.0413,0.0508,20,75,304.8,1068,ACSS
