CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,simulated,convergeCurrent,lowestRise,convergenceOrder,Cmax,Cmin
Ostrich/ACSS,300,26/7,0.1074,0.0835,0.2506,0.68,282.6,129.9,412.5,10000,10900,12800,0.0551,0.0677,20,75,304.8,877,ACSS,0.0551,0.000180774,0.000222113,1,0.01,0.051112966,2.176847091,0.156023571,7.10E-09
Linnet/ACSS,336.4,26/7,0.1137,0.0885,0.2654,0.72,316.8,145.7,462.5,11200,12300,14400,0.0491,0.0604,20,75,304.8,945,ACSS,0.0491,0.000161089,0.000198163,1,0.01,0.051385733,2.175176967,0.156099781,2.58E-09
Oriole/ACSS,336.4,30/7,0.1059,0.1059,0.3177,0.741,317.6,208.7,526.3,14800,16300,19100,0.0488,0.06,20,75,304.8,957,ACSS,0.0488,0.000160105,0.00019685,1,0.01,0.050937627,2.174299378,0.156110844,5.80E-09
Brant/ACSS,397.5,24/7,0.1287,0.0858,0.2574,0.772,374.4,137,511.4,11000,12100,14100,0.0417,0.0514,20,75,304.8,1047,ACSS,0.0417,0.000136811,0.000168635,1,0.01,0.051305367,2.173093097,0.156179589,9.03E-10
Ibis/ACSS,397.5,26/7,0.1236,0.0962,0.2885,0.783,374.4,172.1,546.5,13000,14200,16500,0.0416,0.0512,20,75,304.8,1054,ACSS,0.0416,0.000136483,0.000167979,1,0.01,0.052568543,2.172774423,0.156204315,5.47E-09
Lark/ACSS,397.5,30/7,0.1151,0.1151,0.3453,0.806,375.3,246.5,621.8,17500,19300,22600,0.0413,0.0508,20,75,304.8,1068,ACSS,0.0413,0.000135499,0.000166667,1,0.01,0.052123,2.172086419,0.156290687,5.65E-09
Flicker/ACSS,477,24/7,0.141,0.094,0.2819,0.846,449.3,164.4,613.7,13000,14200,16400,0.0348,0.0429,20,75,304.8,1180,ACSS,0.0348,0.000114173,0.000140748,1,0.01,0.052239689,2.170598198,0.156301931,4.99E-09
Hawk/ACSS,477,26/7,0.1354,0.1053,0.316,0.858,449.3,206.5,655.8,15600,17100,19800,0.0346,0.0427,20,75,304.8,1188,ACSS,0.0346,0.000113517,0.000140092,1,0.01,0.051848313,2.170318886,0.156280237,1.21E-09
Hen/ACSS,477,30/7,0.1261,0.1261,0.3783,0.883,450.4,295.9,746.3,21000,22700,26700,0.0344,0.0424,20,75,304.8,1204,ACSS,0.0344,0.000112861,0.000139108,1,0.01,0.05156468,2.169552416,0.156357986,8.95E-10
Parakeet/ACSS,556.5,24/7,0.1523,0.1015,0.3045,0.914,524,192,716,15200,16600,19100,0.0298,0.0368,20,75,304.8,1306,ACSS,0.0298,9.78E-05,0.000120735,1,0.01,0.050684537,2.168373723,0.156371789,7.34E-09
Dove/ACSS,556.5,26/7,0.1463,0.1138,0.3413,0.927,524.2,240.9,765.1,18200,19900,23200,0.0297,0.0366,20,75,304.8,1315,ACSS,0.0297,9.74E-05,0.000120079,1,0.01,0.050658498,2.168354088,0.156384522,7.80E-09
Eagle/ACSS,556.5,30/7,0.1362,0.1362,0.4086,0.953,525.4,345.2,870.6,24500,26500,31100,0.0295,0.0363,20,75,304.8,1331,ACSS,0.0295,9.68E-05,0.000119094,1,0.01,0.050279997,2.167535375,0.15643641,8.10E-09
Peacock/ACSS,605,24/7,0.1588,0.1058,0.3175,0.953,569.8,208.5,778.3,16500,18100,20800,0.0274,0.0339,20,75,304.8,1379,ACSS,0.0274,8.99E-05,0.00011122,1,0.01,0.049746809,2.167260154,0.156420976,7.89E-09
