CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,simulated,convergeCurrent,lowestRise,convergenceOrder,Cmax,Cmin
Goldenrod,954,61,0.1251,NaN,NaN,1.125,NaN,NaN,894,NaN,NaN,16900,0.0181,0.0226,20,75,304.8,983,AAC,0.0181,5.94E-05,7.41E-05,1,0.023333333,0.049953876,2.131093577,0.134921895,2.04E-09
Hawkweed,1000,37,0.1644,NaN,NaN,1.151,NaN,NaN,937,NaN,NaN,17200,0.0173,0.0216,20,75,304.8,1010,AAC,0.0173,5.68E-05,7.09E-05,1,0.023333333,0.04927756,2.130108167,0.135161492,1.82E-09
Bluebell,1033.5,37,0.1671,NaN,NaN,1.17,NaN,NaN,969,NaN,NaN,17700,0.0167,0.021,20,75,304.8,1031,AAC,0.0167,5.48E-05,6.89E-05,1,0.023333333,0.050455899,2.128264994,0.135047931,5.65E-09
Larkspur,1033.5,61,0.1302,NaN,NaN,1.171,NaN,NaN,969,NaN,NaN,18300,0.0167,0.021,20,75,304.8,1032,AAC,0.0167,5.48E-05,6.89E-05,1,0.023333333,0.049115084,2.128294658,0.13501782,4.79E-09
Marigold,1113,61,0.1351,NaN,NaN,1.216,NaN,NaN,1043,NaN,NaN,19700,0.0155,0.0195,20,75,304.8,1079,AAC,0.0155,5.09E-05,6.40E-05,1,0.023333333,0.049391563,2.12652455,0.135384686,2.43E-10
Hawthorn,1192.5,61,0.1398,NaN,NaN,1.258,NaN,NaN,1118,NaN,NaN,21100,0.0145,0.0183,20,75,304.8,1124,AAC,0.0145,4.76E-05,6.00E-05,1,0.023333333,0.049959953,2.124716221,0.135603437,4.73E-09
Narcissus,1272,61,0.1444,NaN,NaN,1.3,NaN,NaN,1192,NaN,NaN,22000,0.0136,0.0173,20,75,304.8,1169,AAC,0.0136,4.46E-05,5.68E-05,1,0.023333333,0.049310647,2.12218436,0.135718147,1.79E-09
Columbine,1351.5,61,0.1488,NaN,NaN,1.34,NaN,NaN,1267,NaN,NaN,23400,0.0128,0.0163,20,75,304.8,1212,AAC,0.0128,4.20E-05,5.35E-05,1,0.023333333,0.049757382,2.120680165,0.135969753,4.74E-09
Carnation,1431,61,0.1532,NaN,NaN,1.378,NaN,NaN,1341,NaN,NaN,24300,0.0121,0.0155,20,75,304.8,1253,AAC,0.0121,3.97E-05,5.09E-05,1,0.023333333,0.050333984,2.118415807,0.136109098,1.56E-09
Gladiolus,1510.5,61,0.1574,NaN,NaN,1.416,NaN,NaN,1416,NaN,NaN,25600,0.0144,0.0147,20,75,304.8,1294,AAC,0.0144,4.72E-05,4.82E-05,1,0.023333333,0.048714141,2.141394209,0.133738384,1.14E-09
Coreopsis,1590,61,0.1614,NaN,NaN,1.453,NaN,NaN,1490,NaN,NaN,27000,0.0109,0.0141,20,75,304.8,1333,AAC,0.0109,3.58E-05,4.63E-05,1,0.023333333,0.050097913,2.114468307,0.136380256,1.67E-09
Jessamine,1750,61,0.1694,NaN,NaN,1.524,NaN,NaN,1640,NaN,NaN,29700,0.00988,0.0129,20,75,304.8,1408,AAC,0.00988,3.24E-05,4.23E-05,1,0.023333333,0.050679382,2.110345682,0.136828958,7.90E-09
Cowslip,2000,91,0.1482,NaN,NaN,1.631,NaN,NaN,1875,NaN,NaN,34200,0.00864,0.0115,20,75,304.8,1518,AAC,0.00864,2.83E-05,3.77E-05,1,0.023333333,0.050719492,2.103373368,0.137154807,1.15E-09
Sagebrush,2250,91,0.1572,NaN,NaN,1.73,NaN,NaN,2130,NaN,NaN,37500,0.00776,0.0105,20,75,304.8,1612,AAC,0.00776,2.55E-05,3.44E-05,1,0.023333333,0.049419556,2.097146099,0.137475482,2.90E-10
Lupine,2500,91,0.1657,NaN,NaN,1.823,NaN,NaN,2366,NaN,NaN,41900,0.00698,0.00969,20,75,304.8,1706,AAC,0.00698,2.29E-05,3.18E-05,1,0.023333333,0.045082025,2.089282373,0.137684339,7.91E-10
Bitterroot,2750,91,0.1738,NaN,NaN,1.912,NaN,NaN,2603,NaN,NaN,46100,0.00635,0.009,20,75,304.8,1793,AAC,0.00635,2.08E-05,2.95E-05,1,0.023333333,0.041473145,2.082165171,0.138048368,3.74E-09
Trillium,3000,127,0.1537,NaN,NaN,1.998,NaN,NaN,2839,NaN,NaN,50300,0.00582,0.00834,20,75,304.8,1874,AAC,0.00582,1.91E-05,2.74E-05,1,0.023333333,0.038883323,2.076739503,0.138207266,2.10E-09
Bluebonnet,3500,127,0.166,NaN,NaN,2.158,NaN,NaN,3345,NaN,NaN,58700,0.00499,0.00756,20,75,304.8,2024,AAC,0.00499,1.64E-05,2.48E-05,1,0.023333333,0.031503961,2.058744899,0.138308942,3.99E-09
Partridge/ACSS/TW,266.8,<undefined>,NaN,NaN,0.2364,0.595,250.5,115.6,366.1,NaN,NaN,8880,0.3262,0.4009,20,75,1609.34,795,ACSSTW,0.3262,0.000202692,0.000249108,1,0.01,0.050640931,2.18065001,0.155795353,2.05E-08
Linnet/ACSS/TW,336.4,<undefined>,NaN,NaN,0.2655,0.667,316.1,145.8,461.9,NaN,NaN,11200,0.2588,0.3181,20,75,1609.34,921,ACSSTW,0.2588,0.000160811,0.000197659,1,0.01,0.05110985,2.176974098,0.156034244,8.09E-09
Oriole/ACSS/TW,336.4,<undefined>,NaN,NaN,0.3177,0.692,318.2,209.2,527.4,NaN,NaN,14800,0.2565,0.3151,20,75,1609.34,940,ACSSTW,0.2565,0.000159382,0.000195795,1,0.01,0.050889905,2.176426095,0.155992052,6.03E-09
Flicker/ACSS/TW,477,<undefined>,NaN,NaN,0.282,0.776,447.8,164.5,612.3,NaN,NaN,13000,0.1831,0.2255,20,75,1609.34,1151,ACSSTW,0.1831,0.000113773,0.00014012,1,0.01,0.051342259,2.172977331,0.15614681,1.62E-09
Hawk/ACSS/TW,477,<undefined>,NaN,NaN,0.3162,0.79,448.7,206.4,655.1,NaN,NaN,15600,0.1825,0.2247,20,75,1609.34,1159,ACSSTW,0.1825,0.000113401,0.000139622,1,0.01,0.05233434,2.172640051,0.156178587,7.06E-09
Hen/ACSS/TW,477,<undefined>,NaN,NaN,0.3783,0.82,451.1,296.6,747.8,NaN,NaN,21000,0.1809,0.2225,20,75,1609.34,1181,ACSSTW,0.1809,0.000112406,0.000138255,1,0.01,0.051983092,2.171991487,0.156208418,7.13E-10
Parakeet/ACSS/TW,556.5,<undefined>,NaN,NaN,0.3045,0.835,522.4,191.8,714.2,NaN,NaN,15200,0.1569,0.1935,20,75,1609.34,1271,ACSSTW,0.1569,9.75E-05,0.000120236,1,0.01,0.052391958,2.170805902,0.156297794,2.20E-09
Dove/ACSS/TW,556.5,<undefined>,NaN,NaN,0.3414,0.85,523.4,241.1,764.5,NaN,NaN,18200,0.1564,0.1928,20,75,1609.34,1282,ACSSTW,0.1564,9.72E-05,0.000119801,1,0.01,0.052239737,2.170778277,0.15630176,2.15E-09
Rook/ACSS/TW,636,<undefined>,NaN,NaN,0.3255,0.893,597,219.2,816.2,NaN,NaN,17300,0.1373,0.1696,20,75,1609.34,1386,ACSSTW,0.1373,8.53E-05,0.000105385,1,0.01,0.050944566,2.16900656,0.156305489,2.98E-09
Grosbeak/ACSS/TW,636,<undefined>,NaN,NaN,0.3648,0.909,601.5,275.8,877.3,NaN,NaN,20700,0.1369,0.1689,20,75,1609.34,1398,ACSSTW,0.1369,8.51E-05,0.00010495,1,0.01,0.050869866,2.168663694,0.156346672,1.07E-08
Scoter/ACSS/TW,636,<undefined>,NaN,NaN,0.4368,0.942,600.5,394.7,995.2,NaN,NaN,27400,0.1356,0.1672,20,75,1609.34,1427,ACSSTW,0.1356,8.43E-05,0.000103894,1,0.01,0.050714646,2.168410454,0.156352068,9.57E-09
Tern/ACSS/TW,795,<undefined>,NaN,NaN,0.2658,0.96,745.2,146.1,891.3,NaN,NaN,14200,0.1105,0.1373,20,75,1609.34,1580,ACSSTW,0.1105,6.87E-05,8.53E-05,1,0.01,0.049221864,2.167010113,0.156317414,9.58E-09
Puffin/ACSS/TW,795,<undefined>,NaN,NaN,0.3168,0.98,745.9,228.5,974.4,NaN,NaN,17700,0.1101,0.1365,20,75,1609.34,1595,ACSSTW,0.1101,6.84E-05,8.48E-05,1,0.01,0.049134283,2.166589822,0.156365991,1.79E-08
Condor/ACSS/TW,795,<undefined>,NaN,NaN,0.3639,0.993,746.3,273.9,1020,NaN,NaN,21700,0.1098,0.1361,20,75,1609.34,1604,ACSSTW,0.1098,6.82E-05,8.46E-05,1,0.01,0.048934547,2.166323733,0.156399532,8.79E-09
Drake/ACSS/TW,795,<undefined>,NaN,NaN,0.408,1.01,747,344.3,1091.3,NaN,NaN,25900,0.1095,0.1355,20,75,1609.34,1616,ACSSTW,0.1095,6.80E-05,8.42E-05,1,0.01,0.048833522,2.165903044,0.156456722,8.49E-09
Canary/ACSS/TW,900,<undefined>,NaN,NaN,0.3873,1.055,844.8,310.9,1155.7,NaN,NaN,24600,0.097,0.1205,20,75,1609.34,1739,ACSSTW,0.097,6.03E-05,7.49E-05,1,0.01,0.047737672,2.164737243,0.156440745,5.36E-10
Phoenix/ACSS/TW,954,<undefined>,NaN,NaN,0.2511,1.044,897.7,130.4,1028,NaN,NaN,14200,0.0927,0.1187,20,75,1609.34,1740,ACSSTW,0.0927,5.76E-05,7.38E-05,1,0.01,0.044153872,2.16256582,0.15619193,3.78E-09
Rail/ACSS/TW,954,<undefined>,NaN,NaN,0.2913,1.061,898.6,175.5,1074.1,NaN,NaN,16700,0.0926,0.1183,20,75,1609.34,1750,ACSSTW,0.0926,5.75E-05,7.35E-05,1,0.01,0.044074858,2.162164981,0.156238694,1.15E-09
Cardinal/ACSS/TW,954,<undefined>,NaN,NaN,0.3987,1.08,895.5,328.8,1224.3,NaN,NaN,26000,0.0915,0.1138,20,75,1609.34,1806,ACSSTW,0.0915,5.69E-05,7.07E-05,1,0.01,0.047379674,2.164309884,0.156487025,6.16E-09
Snowbird/ACSS/TW,1033.5,<undefined>,NaN,NaN,0.2613,1.089,972.5,141.2,1114,NaN,NaN,15400,0.0856,0.1098,20,75,1609.34,1834,ACSSTW,0.0856,5.32E-05,6.82E-05,1,0.01,0.043345813,2.161287306,0.156180056,5.23E-09
Ortolan/ACSS/TW,1033.5,<undefined>,NaN,NaN,0.303,1.102,972.5,189.9,1162,NaN,NaN,18100,0.0854,0.1095,20,75,1609.34,1843,ACSSTW,0.0854,5.31E-05,6.80E-05,1,0.01,0.043193279,2.161150263,0.156188786,1.01E-08
Curlew/ACSS/TW,1033.5,<undefined>,NaN,NaN,0.4149,1.132,970.1,356.1,1326.2,NaN,NaN,28200,0.0845,0.1053,20,75,1609.34,1903,ACSSTW,0.0845,5.25E-05,6.54E-05,1,0.01,0.046275948,2.16265702,0.156479092,2.33E-09
Avocet/ACSS/TW,1113,<undefined>,NaN,NaN,0.2712,1.129,1047,152.1,1199,NaN,NaN,16300,0.0794,0.1022,20,75,1609.34,1925,ACSSTW,0.0794,4.93E-05,6.35E-05,1,0.01,0.042524442,2.160275389,0.156180677,1.79E-09
Bluejay/ACSS/TW,1113,<undefined>,NaN,NaN,0.3147,1.143,1048,204.8,1253,NaN,NaN,19500,0.0793,0.1019,20,75,1609.34,1935,ACSSTW,0.0793,4.93E-05,6.33E-05,1,0.01,0.042510457,2.160209204,0.156187532,5.73E-09
Finch/ACSS/TW,1113,<undefined>,NaN,NaN,0.431,1.185,1051,376.1,1427,NaN,NaN,30400,0.0789,0.101,20,75,1609.34,1965,ACSSTW,0.0789,4.90E-05,6.28E-05,1,0.01,0.042354614,2.159276162,0.156282252,4.78E-10
Oxbird/ACSS/TW,1192.5,<undefined>,NaN,NaN,0.2808,1.17,1122.9,163.1,1286,NaN,NaN,17500,0.0741,0.0957,20,75,1609.34,2013,ACSSTW,0.0741,4.60E-05,5.95E-05,1,0.01,0.04168495,2.159098859,0.156107294,2.95E-09
Bunting/ACSS/TW,1192.5,<undefined>,NaN,NaN,0.3255,1.181,1123.2,219.6,1342.8,NaN,NaN,20900,0.074,0.0954,20,75,1609.34,2023,ACSSTW,0.074,4.60E-05,5.93E-05,1,0.01,0.041775075,2.159057486,0.156135037,4.12E-11
Grackle/ACSS/TW,1192.5,<undefined>,NaN,NaN,0.446,1.225,1127.8,402.9,1530.7,NaN,NaN,32600,0.0737,0.0944,20,75,1609.34,2055,ACSSTW,0.0737,4.58E-05,5.87E-05,1,0.01,0.041845906,2.158509825,0.156257747,1.74E-09
Scissortail/ACSS/TW,1272,<undefined>,NaN,NaN,0.2901,1.203,1197,174,1371,NaN,NaN,18700,0.0695,0.09,20,75,1609.34,2098,ACSSTW,0.0695,4.32E-05,5.59E-05,1,0.01,0.041144658,2.158578808,0.156105865,3.79E-09
Bittern/ACSS/TW,1272,<undefined>,NaN,NaN,0.3363,1.224,1197.6,234.9,1432.5,NaN,NaN,22300,0.0694,0.0897,20,75,1609.34,2110,ACSSTW,0.0694,4.31E-05,5.57E-05,1,0.01,0.040988276,2.158180694,0.156205639,1.56E-09
Pheasant/ACSS/TW,1272,<undefined>,NaN,NaN,0.4605,1.26,1201,429.5,1630.5,NaN,NaN,34100,0.0691,0.0887,20,75,1609.34,2143,ACSSTW,0.0691,4.29E-05,5.51E-05,1,0.01,0.041358386,2.15785724,0.156221779,2.32E-09
Dipper/ACSS/TW,1351.5,<undefined>,NaN,NaN,0.3465,1.256,1273,248.3,1521,NaN,NaN,23700,0.0653,0.0847,20,75,1609.34,2194,ACSSTW,0.0653,4.06E-05,5.26E-05,1,0.01,0.040420573,2.157570647,0.156135953,2.88E-09
Martin/ACSS/TW,1351.5,<undefined>,NaN,NaN,0.4745,1.3,1276.1,456,1732.1,NaN,NaN,36200,0.065,0.0837,20,75,1609.34,2228,ACSSTW,0.065,4.04E-05,5.20E-05,1,0.01,0.040585704,2.156845895,0.156285805,3.67E-09
Bobolink/ACSS/TW,1431,<undefined>,NaN,NaN,0.3567,1.291,1347,263.1,1611,NaN,NaN,25100,0.0617,0.0802,20,75,1609.34,2276,ACSSTW,0.0617,3.83E-05,4.98E-05,1,0.01,0.039870732,2.156881911,0.156053618,2.55E-10
Plover/ACSS/TW,1431,<undefined>,NaN,NaN,0.4885,1.337,1351,483.2,1834,NaN,NaN,38400,0.0614,0.0793,20,75,1609.34,2313,ACSSTW,0.0614,3.82E-05,4.93E-05,1,0.01,0.040004753,2.15624481,0.156225507,4.55E-09
Lapwing/ACSS/TW,1590,<undefined>,NaN,NaN,0.3759,1.358,1497.6,292.3,1789.9,NaN,NaN,27900,0.0555,0.0727,20,75,1609.34,2435,ACSSTW,0.0555,3.45E-05,4.52E-05,1,0.01,0.03856904,2.15544732,0.156030581,3.77E-09
Falcon/ACSS/TW,1590,<undefined>,NaN,NaN,0.515,1.41,1502.8,537.2,2040,NaN,NaN,42600,0.0553,0.0717,20,75,1609.34,2477,ACSSTW,0.0553,3.44E-05,4.46E-05,1,0.01,0.038978112,2.154912606,0.156194891,2.82E-09
Chukar/ACSS/TW,1780,<undefined>,NaN,NaN,0.437,1.445,1680.6,386.8,2067.4,NaN,NaN,35300,0.0495,0.0652,20,75,1609.34,2630,ACSSTW,0.0495,3.08E-05,4.05E-05,1,0.01,0.037405333,2.153944393,0.155916241,1.61E-09
Bluebird/ACSS/TW,2156,<undefined>,NaN,NaN,0.4805,1.608,2045,467.5,2512,NaN,NaN,42100,0.0412,0.0543,20,75,1609.34,3014,ACSSTW,0.0412,2.56E-05,3.37E-05,1,0.01,0.036742505,2.152611357,0.155909851,1.13E-08
Mohawk/ACSS/TW,571.7,<undefined>,NaN,NaN,0.309,0.85,537,197.5,734.5,NaN,NaN,15600,0.1527,0.1884,20,75,1609.34,1294,ACSSTW,0.1527,9.49E-05,0.000117067,1,0.01,0.051915879,2.170235163,0.156323257,2.28E-09
Calumet/ACSS/TW,565.3,<undefined>,NaN,NaN,0.3438,0.86,531.2,244.5,775.7,NaN,NaN,18400,0.154,0.1898,20,75,1609.34,1295,ACSSTW,0.154,9.57E-05,0.000117937,1,0.01,0.051914532,2.170231581,0.156322805,2.24E-09
Mystic/ACSS/TW,666.6,<undefined>,NaN,NaN,0.3732,0.913,630.4,230.3,860.7,NaN,NaN,18200,0.131,0.1619,20,75,1609.34,1431,ACSSTW,0.131,8.14E-05,0.0001006,1,0.01,0.050658368,2.168571677,0.156387507,4.80E-09
Oswego/ACSS/TW,664.8,<undefined>,NaN,NaN,0.3732,0.927,628.7,288.7,917.4,NaN,NaN,21700,0.1309,0.1616,20,75,1609.34,1439,ACSSTW,0.1309,8.13E-05,0.000100414,1,0.01,0.05050851,2.16841395,0.156390367,7.60E-09
Maumee/ACSS/TW,768.2,<undefined>,NaN,NaN,0.3585,0.977,721.1,265.9,987,NaN,NaN,21000,0.1137,0.1407,20,75,1609.34,1569,ACSSTW,0.1137,7.07E-05,8.74E-05,1,0.01,0.049378086,2.166898424,0.156387433,2.49E-08
Wabash/ACSS/TW,762.8,<undefined>,NaN,NaN,0.3993,0.99,716.7,329.8,1046.5,NaN,NaN,24900,0.1141,0.1411,20,75,1609.34,1573,ACSSTW,0.1141,7.09E-05,8.77E-05,1,0.01,0.049212426,2.166474867,0.156483082,1.50E-08
Kettle/ACSS/TW,957.2,<undefined>,NaN,NaN,0.2919,1.06,901.6,176.2,1078,NaN,NaN,16800,0.0922,0.118,20,75,1609.34,1753,ACSSTW,0.0922,5.73E-05,7.33E-05,1,0.01,0.043951588,2.162065056,0.156144598,8.38E-10
Fraser/ACSS/TW,946.7,<undefined>,NaN,NaN,0.3462,1.077,892.6,247.9,1141,NaN,NaN,21100,0.093,0.1187,20,75,1609.34,1756,ACSSTW,0.093,5.78E-05,7.38E-05,1,0.01,0.04398186,2.161821831,0.15620903,9.61E-10
Columbia/ACSS/TW,966.2,<undefined>,NaN,NaN,0.4014,1.092,906.9,333.2,1240,NaN,NaN,26400,0.0904,0.1124,20,75,1609.34,1822,ACSSTW,0.0904,5.62E-05,6.98E-05,1,0.01,0.047154675,2.163892988,0.156453534,3.81E-09
Suwannee/ACSS/TW,959.6,<undefined>,NaN,NaN,0.4479,1.11,901.6,415,1316.6,NaN,NaN,30700,0.0907,0.1127,20,75,1609.34,1828,ACSSTW,0.0907,5.64E-05,7.00E-05,1,0.01,0.046913583,2.163515452,0.156429179,1.24E-08
Cheyenne/ACSS/TW,1168.1,<undefined>,NaN,NaN,0.2778,1.155,1099,159.6,1259,NaN,NaN,17200,0.0757,0.0979,20,75,1609.34,1986,ACSSTW,0.0757,4.70E-05,6.08E-05,1,0.01,0.041877671,2.159852414,0.156072512,8.30E-09
Genesee/ACSS/TW,1158,<undefined>,NaN,NaN,0.3234,1.165,1092,216,1308,NaN,NaN,20500,0.0762,0.0981,20,75,1609.34,1985,ACSSTW,0.0762,4.73E-05,6.10E-05,1,0.01,0.042067275,2.159526785,0.156209843,1.96E-09
Hudson/ACSS/TW,1158.4,<undefined>,NaN,NaN,0.4401,1.196,1087.3,400.7,1488,NaN,NaN,31100,0.0754,0.0943,20,75,1609.34,2051,ACSSTW,0.0754,4.69E-05,5.86E-05,1,0.01,0.045205862,2.161403277,0.156455048,3.19E-09
Catawba/ACSS/TW,1272,<undefined>,NaN,NaN,0.2901,1.203,1197,174,1371,NaN,NaN,18700,0.0695,0.09,20,75,1609.34,2098,ACSSTW,0.0695,4.32E-05,5.59E-05,1,0.01,0.041144658,2.158578808,0.156105865,3.79E-09
Nelson/ACSS/TW,1257.1,<undefined>,NaN,NaN,0.3345,1.213,1184,231.4,1415,NaN,NaN,22100,0.0702,0.0907,20,75,1609.34,2094,ACSSTW,0.0702,4.36E-05,5.64E-05,1,0.01,0.041217524,2.158482785,0.156144487,2.21E-09
Yukon/ACSS/TW,1233.6,<undefined>,NaN,NaN,0.455,1.245,1166.7,419.3,1586,NaN,NaN,33200,0.0712,0.0914,20,75,1609.34,2101,ACSSTW,0.0712,4.42E-05,5.68E-05,1,0.01,0.041446039,2.15803534,0.156253781,1.67E-09
Truckee/ACSS/TW,1372.5,<undefined>,NaN,NaN,0.3012,1.248,1292,187.6,1479,NaN,NaN,20200,0.0644,0.0838,20,75,1609.34,2203,ACSSTW,0.0644,4.00E-05,5.21E-05,1,0.01,0.040233439,2.157663353,0.156084278,6.38E-09
Mackenzie/ACSS/TW,1359.7,<undefined>,NaN,NaN,0.3477,1.259,1281,250,1531,NaN,NaN,23900,0.0649,0.0842,20,75,1609.34,2202,ACSSTW,0.0649,4.03E-05,5.23E-05,1,0.01,0.040358004,2.157290755,0.156088105,2.68E-09
Thames/ACSS/TW,1334.6,<undefined>,NaN,NaN,0.472,1.29,1260.1,451.2,1711.3,NaN,NaN,35800,0.0658,0.0847,20,75,1609.34,2209,ACSSTW,0.0658,4.09E-05,5.26E-05,1,0.01,0.040717426,2.157181154,0.156288065,2.79E-09
St.Croix/ACSS/TW,NaN,<undefined>,NaN,NaN,0.3123,1.292,1381,201.7,1583,NaN,NaN,21600,0.0602,0.0787,20,75,1609.34,2302,ACSSTW,0.0602,3.74E-05,4.89E-05,1,0.01,0.039390694,2.156583141,0.156019743,1.73E-09
Miramichi/ACSS/TW,1455.3,<undefined>,NaN,NaN,0.36,1.302,1372,268,1640,NaN,NaN,25600,0.0607,0.079,20,75,1609.34,2338,ACSSTW,0.0607,3.77E-05,4.91E-05,1,0.01,0.040887978,2.158809535,0.156006441,2.73E-09
Merrimack/ACSS/TW,1433.6,<undefined>,NaN,NaN,0.489,1.34,1355.8,484.3,1840.1,NaN,NaN,42000,0.0613,0.0791,20,75,1609.34,2354,ACSSTW,0.0613,3.81E-05,4.92E-05,1,0.01,0.041262709,2.158308351,0.156107303,2.91E-09
Platte/ACSS/TW,1569,<undefined>,NaN,NaN,0.3222,1.334,1478,215,1693,NaN,NaN,24600,0.0564,0.074,20,75,1609.34,2439,ACSSTW,0.0564,3.50E-05,4.60E-05,1,0.01,0.039836276,2.157914571,0.15590224,1.55E-10
Potomac/ACSS/TW,1557.4,<undefined>,NaN,NaN,0.3723,1.35,1466.9,288.1,1755,NaN,NaN,29000,0.0567,0.0741,20,75,1609.34,2441,ACSSTW,0.0567,3.52E-05,4.60E-05,1,0.01,0.039916322,2.157480246,0.15593469,1.46E-09
RioGrande/ACSS/TW,NaN,<undefined>,NaN,NaN,0.506,1.38,1449,519,1968,NaN,NaN,45000,0.0573,0.0742,20,75,1609.34,2456,ACSSTW,0.0573,3.56E-05,4.61E-05,1,0.01,0.040561449,2.157602213,0.156035086,4.60E-10
Schuylkill/ACSS/TW,1657.4,<undefined>,NaN,NaN,0.384,1.386,1563,305,1868,NaN,NaN,30900,0.0533,0.07,20,75,1609.34,2539,ACSSTW,0.0533,3.31E-05,4.35E-05,1,0.01,0.039233891,2.156903796,0.155943557,3.87E-09
Pecos/ACSS/TW,1622,<undefined>,NaN,NaN,0.532,1.42,1533.7,573.2,2106.9,NaN,NaN,49300,0.0541,0.0703,20,75,1609.34,2551,ACSSTW,0.0541,3.36E-05,4.37E-05,1,0.01,0.039945725,2.156870189,0.156086487,1.76E-09
PeeDee/ACSS/TW,NaN,<undefined>,NaN,NaN,0.3957,1.427,1656.4,323.9,1980.3,NaN,NaN,32800,0.0502,0.0663,20,75,1609.34,2637,ACSSTW,0.0502,3.12E-05,4.12E-05,1,0.01,0.038370182,2.155938174,0.155804997,3.11E-10
James/ACSS/TW,1730.6,<undefined>,NaN,NaN,0.5375,1.47,1636,585,2221,NaN,NaN,50800,0.0508,0.0663,20,75,1609.34,2657,ACSSTW,0.0508,3.16E-05,4.12E-05,1,0.01,0.039057724,2.155749803,0.155962596,1.20E-08
Athabaska/ACSS/TW,1949.6,<undefined>,NaN,NaN,0.4176,1.504,1836,360.7,2197,NaN,NaN,36500,0.0453,0.0595,20,75,1609.34,2808,ACSSTW,0.0453,2.81E-05,3.70E-05,1,0.01,0.037668603,2.154019697,0.156004224,6.28E-09
Cumberland/ACSS/TW,1926.9,<undefined>,NaN,NaN,0.5665,1.55,1821,650,2471,NaN,NaN,56400,0.0456,0.06,20,75,1609.34,2802,ACSSTW,0.0456,2.83E-05,3.73E-05,1,0.01,0.036581041,2.151990674,0.156024589,1.43E-08
Powder/ACSS/TW,2153.8,<undefined>,NaN,NaN,0.4805,1.602,2042.5,396.1,2438.6,NaN,NaN,45500,0.0412,0.0543,20,75,1609.34,3009,ACSSTW,0.0412,2.56E-05,3.37E-05,1,0.01,0.036756987,2.15271245,0.155992428,2.36E-08
Santee/ACSS/TW,2627.3,<undefined>,NaN,NaN,0.531,1.761,2491.5,571.1,3062.6,NaN,NaN,55600,0.0338,0.0459,20,75,1609.34,3403,ACSSTW,0.0338,2.10E-05,2.85E-05,1,0.01,0.033325094,2.144411082,0.155565074,3.63E-09
Tulip/TW,336.4,<undefined>,NaN,NaN,NaN,0.612,NaN,NaN,315.2,NaN,NaN,6220,0.0514,0.063,25,75,304.8,502,AACTW,0.0514,0.000168635,0.000206693,1,0.01,0.019422419,2.093981673,0.158782989,4.13E-09
Canna/TW,397.5,<undefined>,NaN,NaN,NaN,0.661,NaN,NaN,372.4,NaN,NaN,7230,0.0435,0.0534,25,75,304.8,557,AACTW,0.0435,0.000142717,0.000175197,1,0.01,0.018714166,2.090348478,0.158746696,5.11E-09
Cosmos/TW,477,<undefined>,NaN,NaN,NaN,0.72,NaN,NaN,446.9,NaN,NaN,8530,0.0363,0.0445,25,75,304.8,623,AACTW,0.0363,0.000119094,0.000145997,1,0.01,0.018016773,2.086756794,0.158911995,3.56E-09
Zinnia/TW,500,<undefined>,NaN,NaN,NaN,0.736,NaN,NaN,468.4,NaN,NaN,8940,0.0346,0.0425,25,75,304.8,641,AACTW,0.0346,0.000113517,0.000139436,1,0.01,0.017730244,2.085060942,0.158673373,4.83E-09
Mistletoe/TW,556.5,<undefined>,NaN,NaN,NaN,0.775,NaN,NaN,521.3,NaN,NaN,9950,0.0311,0.0383,25,75,304.8,685,AACTW,0.0311,0.000102034,0.000125656,1,0.01,0.017220867,2.082242877,0.161749752,2.06E-10
Meadowsweet/TW,600,<undefined>,NaN,NaN,NaN,0.803,NaN,NaN,652.1,NaN,NaN,10700,0.0288,0.0355,25,75,304.8,718,AACTW,0.0288,9.45E-05,0.00011647,1,0.01,0.016894958,2.080429864,0.167466865,3.94E-10
Orchid/TW,636,<undefined>,NaN,NaN,NaN,0.825,NaN,NaN,595.8,NaN,NaN,11400,0.0272,0.0335,25,75,304.8,744,AACTW,0.0272,8.92E-05,0.000109908,1,0.01,0.016711669,2.079360715,0.170892778,5.09E-09
Verbena/TW,700,<undefined>,NaN,NaN,NaN,0.864,NaN,NaN,655.7,NaN,NaN,12500,0.0247,0.0305,25,75,304.8,789,AACTW,0.0247,8.10E-05,0.000100066,1,0.01,0.016235846,2.076522575,0.180598141,1.11E-08
Nasturtium/TW,750,<undefined>,NaN,NaN,NaN,0.893,NaN,NaN,702.6,NaN,NaN,13400,0.023,0.0286,25,75,304.8,823,AACTW,0.023,7.55E-05,9.38E-05,1,0.01,0.015719159,2.07329765,0.192708264,3.25E-09
Arbutus/TW,795,<undefined>,NaN,NaN,NaN,0.919,NaN,NaN,744.7,NaN,NaN,13900,0.0217,0.027,25,75,304.8,853,AACTW,0.0217,7.12E-05,8.86E-05,1,0.01,0.015473095,2.071832739,0.202942091,6.60E-09
