CodeWord,Size,Stranding,IndDiamAl,IndDiamSt,DiamStlCore,DiamCompleteCable,Weightper1000ftAl,Weightper1000ftStl,Weightper1000ftTotal,Al,Stl,RatedStrength,ResistanceDCLowdegc,ResistanceACHighdegc,LowTemp,HighTemp,MetersperResistanceInterval,AllowableAmpacity,Type,Validated,minfirstderivative,ResistanceACLowdegc,ResistanceACLowdegcMeter,ResistanceACHighdegcMeter,deltas,delta1s,Cs
Condor,795,54/7,0.1213,0.1213,0.364,1.092,749,274,1023,73.21,26.79,28200,0.0215,0.0272,20,75,304.8,889,ACSR,0,0,0.0215,7.05380577427821e-05,8.9238845144357e-05,1.80222289030812,2,0.261963305743752
Mallard,795,30/19,0.1628,0.0977,0.4884,1.14,751,483,1234,60.86,39.14,38400,0.0213,0.0261,20,75,304.8,918,ACSR,0,0,0.0213,6.98818897637795e-05,8.56299212598425e-05,1.73585961060177,2,0.262369451832805
Ruddy,900,45/7,0.1414,0.0943,0.2828,1.131,848,165,1013,83.67,16.33,24400,0.0191,0.0239,20,75,304.8,958,ACSR,0,0,0.0191,6.26640419947506e-05,7.84120734908136e-05,1.76037271225707,2,0.262908568766686
Canary,900,54/7,0.1291,0.1291,0.3873,1.162,848,310,1158,73.22,26.78,31900,0.019,0.0241,20,75,304.8,961,ACSR,0,0,0.019,6.23359580052493e-05,7.90682414698163e-05,1.74583451122584,2,0.260387500903929
Rail,954,45/7,0.1456,0.0971,0.2912,1.165,899,175,1074,83.67,16.33,25900,0.018,0.0225,20,75,304.8,993,ACSR,0,0,0.018,5.90551181102362e-05,7.38188976377953e-05,1.73330856986547,2,0.25968314866726
Cardinal,954,54/7,0.1329,0.1329,0.3987,1.196,899,329,1227,73.21,26.79,33800,0.0179,0.0228,20,75,304.8,996,ACSR,0,0,0.0179,5.87270341207349e-05,7.48031496062992e-05,1.72190035868439,2,0.260029371420236
Ortolan,1033.5,45/7,0.1515,0.101,0.3031,1.212,973,190,1163,83.67,16.33,27700,0.0167,0.0209,20,75,304.8,1043,ACSR,0,0,0.0167,5.47900262467192e-05,6.85695538057743e-05,1.69754683611827,2,0.260073904474043
Curlew,1033.5,54/7,0.1383,0.1383,0.415,1.245,973,356,1330,73.21,26.79,36600,0.0165,0.0211,20,75,304.8,1047,ACSR,0,0,0.0165,5.41338582677165e-05,6.92257217847769e-05,1.68750060810321,2,0.257922542558965
Bluejay,1113,45/7,0.1573,0.1048,0.3145,1.258,1048,205,1253,83.67,16.33,29800,0.0155,0.0194,20,75,304.8,1092,ACSR,0,0,0.0155,5.08530183727034e-05,6.36482939632546e-05,1.66336358302336,2,0.257414686834037
Finch,1113,54/19,0.1436,0.0861,0.4307,1.292,1053,375,1429,73.72,26.28,39100,0.0154,0.0197,20,75,304.8,1093,ACSR,0,0,0.0154,5.05249343832021e-05,6.46325459317585e-05,1.6539259556788,2,0.257821155995375
