Name,Size,MetalOD,LowTempC,LowResistancemile,LowResistancemeter,HiTempC,HiResistancemile,HiResistancemeter,alpha,beta,Type,Validated,minfirstderivative,Tc0hot,Tc0cold
927.2 - 24/13,927.2,1.108,25,0.1084,6.73568e-05,75,0.128,7.95357e-05,6.12674e-05,2.43578e-07,ACAR,1,-0.427644084495281,438.235291514979,-100
1024.5 -  18/19,1024.5,1.165,25,0.101,6.27586e-05,75,0.1187,7.37569e-05,5.72595e-05,2.19966e-07,ACAR,1,-0.440814467645294,429.62161291975,-100
1024.5 -  30/7,1024.5,1.165,25,0.0966,6.00246e-05,75,0.1142,7.09608e-05,5.45565e-05,2.18723e-07,ACAR,1,-0.440798327293695,429.379657522517,-100
1024.5 - 24/13,1024.5,1.165,25,0.0987,6.13295e-05,75,0.1164,7.23278e-05,5.58303e-05,2.19966e-07,ACAR,1,-0.440806063819133,429.495170639413,-100
1081 -  18/19,1081,1.196,25,0.096,5.96518e-05,75,0.1127,7.00287e-05,5.44633e-05,2.07538e-07,ACAR,1,-0.447891351070529,425.099074991641,-100
1081 -  30/7,1081,1.196,25,0.0918,5.7042e-05,75,0.1084,6.73568e-05,5.18846e-05,2.06296e-07,ACAR,1,-0.447875757408593,424.866684692882,-100
1081 - 24/13,1081,1.196,25,0.0939,5.83469e-05,75,0.1105,6.86617e-05,5.31895e-05,2.06296e-07,ACAR,1,-0.447883587512713,424.982908857254,-100
1109 -  18/19,1109,1.212,25,0.0937,5.82226e-05,75,0.11,6.8351e-05,5.31584e-05,2.02568e-07,ACAR,1,-0.451518718674754,422.840964280078,-100
1109 -  30/7,1109,1.212,25,0.0897,5.57371e-05,75,0.1058,6.57412e-05,5.07351e-05,2.00082e-07,ACAR,1,-0.451503728236782,422.618709128156,-100
1109 - 24/13,1109,1.212,25,0.0917,5.69799e-05,75,0.1078,6.6984e-05,5.19778e-05,2.00082e-07,ACAR,1,-0.451511255611542,422.729867800438,-100
1172 -  18/19,1172,1.246,25,0.0891,5.53643e-05,75,0.1044,6.48713e-05,5.06108e-05,1.9014e-07,ACAR,1,-0.459160778579211,418.158082306511,-100
1172 -  30/7,1172,1.246,25,0.0852,5.2941e-05,75,0.1004,6.23858e-05,4.82185e-05,1.88897e-07,ACAR,1,-0.459145990732116,417.940191144211,-100
1172 - 24/13,1172,1.246,25,0.0871,5.41216e-05,75,0.1024,6.36286e-05,4.93681e-05,1.9014e-07,ACAR,1,-0.459153225490467,418.046370609408,-100
1172 - 33/4,1172,1.246,25,0.0843,5.23817e-05,75,0.0995,6.18266e-05,4.76593e-05,1.88897e-07,ACAR,1,-0.459142541674792,417.88987236167,-100
1197 -  18/19,1197,1.259,25,0.0873,5.42458e-05,75,0.1023,6.35664e-05,4.95855e-05,1.86412e-07,ACAR,1,-0.462065870589682,416.407362658028,-100
1197 -  30/7,1197,1.259,25,0.0836,5.19468e-05,75,0.0985,6.12052e-05,4.73175e-05,1.85169e-07,ACAR,1,-0.462051776741531,416.200160482927,-100
1197 - 24/13,1197,1.259,25,0.0854,5.30652e-05,75,0.1003,6.23237e-05,4.8436e-05,1.85169e-07,ACAR,1,-0.462058662148141,416.300981957747,-100
1280 -  18/19,1280,1.302,25,0.0821,5.10147e-05,75,0.0961,5.97139e-05,4.66651e-05,1.73984e-07,ACAR,1,-0.471614359065424,410.816020917942,-100
1280 -  30/7,1280,1.302,25,0.0787,4.8902e-05,75,0.0925,5.7477e-05,4.46146e-05,1.71499e-07,ACAR,1,-0.471601228682217,410.623939581409,-100
1280 - 24/13,1280,1.302,25,0.0803,4.98962e-05,75,0.0942,5.85333e-05,4.55777e-05,1.72742e-07,ACAR,1,-0.471607433431961,410.714349895263,-100
1362 -  42/19,1362,1.345,25,0.0756,4.69758e-05,75,0.0886,5.50536e-05,4.29369e-05,1.61557e-07,ACAR,1,-0.481047927763551,405.371199111963,-100
1362 - 54/7,1362,1.345,25,0.0737,4.57952e-05,75,0.0888,5.51779e-05,4.11038e-05,1.87655e-07,ACAR,1,-0.481040391603004,405.262884636672,-100
1703 -  42/19,1703,1.504,25,0.0622,3.86494e-05,75,0.0723,4.49252e-05,3.55115e-05,1.25517e-07,ACAR,1,-0.515111133464643,387.511125680129,-100
1703 - 48/13,1703,1.504,25,0.0614,3.81523e-05,75,0.0715,4.44282e-05,3.50144e-05,1.25517e-07,ACAR,1,-0.515107827127211,387.464114643905,-100
1703 - 54/7,1703,1.504,25,0.0607,3.77173e-05,75,0.0725,4.50495e-05,3.40512e-05,1.46644e-07,ACAR,1,-0.515104899487237,387.422968203423,-100
1933 -  42/19,1933,1.602,25,0.0559,3.47347e-05,75,0.0647,4.02028e-05,3.20007e-05,1.09362e-07,ACAR,1,-0.535525573420226,377.740086412423,-100
1933 - 48/13,1933,1.602,25,0.0553,3.43619e-05,75,0.0641,3.983e-05,3.16279e-05,1.09362e-07,ACAR,1,-0.53552303739399,377.704191977061,-100
1933 - 54/7,1933,1.602,25,0.0546,3.3927e-05,75,0.0648,4.0265e-05,3.0758e-05,1.2676e-07,ACAR,1,-0.535520048511539,377.662310837137,-100
2267 -  42/19,2267,1.735,25,0.0496,3.08201e-05,75,0.0571,3.54804e-05,2.84899e-05,9.32059e-08,ACAR,1,-0.562565091102269,365.754050068181,-100
2267 - 48/13,2267,1.735,25,0.0491,3.05094e-05,75,0.0565,3.51076e-05,2.82103e-05,9.19632e-08,ACAR,1,-0.562562921012874,365.723351086122,-100
2267 - 54/7,2267,1.735,25,0.0486,3.01987e-05,75,0.0571,3.54804e-05,2.75579e-05,1.05633e-07,ACAR,1,-0.562560727747689,365.692647676966,-100
2338 -  42/19,2338,1.762,25,0.0484,3.00744e-05,75,0.0556,3.45483e-05,2.78375e-05,8.94777e-08,ACAR,1,-0.567979294773505,363.465333763438,-100
2338 - 48/13,2338,1.762,25,0.0479,2.97638e-05,75,0.0551,3.42376e-05,2.75268e-05,8.94777e-08,ACAR,1,-0.567977113206167,363.434500583445,-100
2338 - 54/7,2338,1.762,25,0.0474,2.94531e-05,75,0.0557,3.46105e-05,2.68744e-05,1.03148e-07,ACAR,1,-0.567974908751033,363.403652992361,-100
2493 - 54/37,2493,1.821,25,0.045936,2.85434e-05,75,0.0528,3.28085e-05,2.64108e-05,8.5302e-08,ACAR,1,-0.579691545575902,358.620086197324,-100
